,bitstring,ideal_real_amp,ideal_imag_amp,ideal_prob,google_noisy_prob,depolarize_single_0.0016_prob
0,00000000000000,0.0033382493238562614,-2.7439285905640504e-05,1.1144661462637798e-05,4.8e-05,3.2e-05
1,00000000000001,-0.0011732590454460044,0.0056762239861317,3.3596055528457715e-05,8.8e-05,6e-05
2,00000000000010,-0.0019291267797185065,0.005023673789991431,2.8958828480473962e-05,7.4e-05,5.8e-05
3,00000000000011,-0.011905307901502642,-0.014785668326755647,0.0003603523440984063,0.000164,0.000156
4,00000000000100,-0.0040314685604236605,0.005343409283897654,4.4804761528928065e-05,4e-05,6.2e-05
5,00000000000101,-0.004861018112317117,-0.0027114092091858307,3.09812369879328e-05,6.8e-05,5.4e-05
6,00000000000110,-0.004077695437956159,-0.0026814117263829675,2.381756893111256e-05,7.2e-05,5.6e-05
7,00000000000111,0.0063602192074966885,-0.0031418269810843426,5.032346514647936e-05,6.8e-05,6.2e-05
8,00000000001000,0.005143683716270579,-0.008267228563881672,9.480455030048813e-05,5.8e-05,7.8e-05
9,00000000001001,-0.004354828219092685,-0.008578634447209837,9.25574977966612e-05,9.4e-05,7.6e-05
10,00000000001010,0.0014734137380416805,-0.0021506444771499157,6.796219710545392e-06,4.4e-05,4e-05
11,00000000001011,0.006725835257996986,-0.004065238431783878,6.176302342496803e-05,4.6e-05,5.4e-05
12,00000000001100,0.005906382848742241,0.000157190826461724,3.4910067311840234e-05,7.8e-05,5.4e-05
13,00000000001101,0.0013897818125218294,-0.002894623013739206,1.0310335878085107e-05,7.6e-05,4.2e-05
14,00000000001110,-0.004963392524254238,4.712067502203338e-05,2.4637485707837385e-05,4.4e-05,5.4e-05
15,00000000001111,-0.0046691360831408795,0.004846568666010203,4.529005959724007e-05,5.6e-05,5.4e-05
16,00000000010000,-0.004595780919637583,-0.002362495039415729,2.6702585072568795e-05,4.8e-05,4.6e-05
17,00000000010001,-0.001286520758330452,-0.0031443611180214303,1.1542142502140141e-05,8.2e-05,3.8e-05
18,00000000010010,0.00018035768887411652,-0.005275068372248979,2.7858875227837504e-05,5.4e-05,4.4e-05
19,00000000010011,0.004722613471304059,-0.010020905786006767,0.00012272163077136646,8.2e-05,8.4e-05
20,00000000010100,0.002051293845821967,-0.0010034180164835938,5.214654157710946e-06,4.6e-05,3.2e-05
21,00000000010101,-0.0018456681517426627,-0.0009393460351741456,4.288861900154564e-06,8.2e-05,4.4e-05
22,00000000010110,0.006219892416857708,-0.003450491122101383,5.059295066098448e-05,7e-05,4.2e-05
23,00000000010111,0.00043768786013062013,0.004535180254874369,2.0759430607108068e-05,6e-05,4.2e-05
24,00000000011000,0.0027064402750233726,0.003720007049337757,2.116327140939119e-05,6.8e-05,5.6e-05
25,00000000011001,-0.00433404794680632,0.006050058867065547,5.538718390017452e-05,4.8e-05,4.6e-05
26,00000000011010,0.00246029606703039,-0.011455450794038974,0.00013728040963209337,0.000154,8e-05
27,00000000011011,-0.001031544037258152,-0.0059256373142521305,3.6177260680860046e-05,4e-05,5.6e-05
28,00000000011100,0.007681632273033401,0.0009920476518030527,5.999163292155625e-05,4.2e-05,4.2e-05
29,00000000011101,-0.0069248468634318895,0.0037716639296696596,6.217895288035366e-05,5.8e-05,5.8e-05
30,00000000011110,-0.006722984581970214,-0.004321752669522241,6.387606782593184e-05,5.6e-05,5.2e-05
31,00000000011111,0.008721210127274639,-0.005949134864023621,0.00011145171171441906,0.000114,6.8e-05
32,00000000100000,-0.00217222904124012,-0.0025022248668640553,1.097970829195981e-05,4.2e-05,6.6e-05
33,00000000100001,0.001729241433314885,-0.003403934093099293,1.4577043244856624e-05,5.6e-05,4.8e-05
34,00000000100010,0.0024639217514065455,-0.001457290708191781,8.1946066052364e-06,3.8e-05,3.6e-05
35,00000000100011,-0.0024260801896525746,-0.006241677335356178,4.484440104532367e-05,5.4e-05,6.8e-05
36,00000000100100,0.003284502956522351,-0.0038293571761542702,2.545193605396827e-05,4.8e-05,5.8e-05
37,00000000100101,-0.0015938250345866663,-0.0003736773342461325,2.679912991004484e-06,5.4e-05,4.4e-05
38,00000000100110,0.0075173851958475705,-0.00433108317077969,7.526936161495926e-05,4.2e-05,6.6e-05
39,00000000100111,0.0036918789976846025,-0.0007279013266999822,1.415981087495626e-05,6.8e-05,3.8e-05
40,00000000101000,-0.00451528727348017,0.0002850932869523735,2.0469097344317293e-05,3.8e-05,3.8e-05
41,00000000101001,-0.002068488174412606,-0.014856002306185286,0.00022497944784906734,0.000142,9.6e-05
42,00000000101010,0.006338901343219549,-0.0013455464660939854,4.1992165531488616e-05,9.8e-05,4.6e-05
43,00000000101011,9.58804790408864e-05,0.00027085476363333805,8.255536924398128e-08,3.8e-05,4e-05
44,00000000101100,-0.0001830470130617782,0.0055231599354445765,3.0538801881490975e-05,4.8e-05,6.8e-05
45,00000000101101,0.006022041795747858,0.000898772734331824,3.707277981771239e-05,5.8e-05,6.2e-05
46,00000000101110,-0.0027506435685992698,-0.013655241130590917,0.00019403165037605843,0.000146,9.4e-05
47,00000000101111,0.0023403555505816364,0.0004267075451799352,5.659343432251761e-06,4.2e-05,2.6e-05
48,00000000110000,-0.007413109069193403,-0.005160092888553463,8.15807446902575e-05,8e-05,6.4e-05
49,00000000110001,-0.00412610627400032,0.008070390360018507,8.215595354742444e-05,9.6e-05,6.4e-05
50,00000000110010,0.00032724293156019915,0.0032018526221343217,1.0358948150124545e-05,6e-05,4.4e-05
51,00000000110011,0.007222115002976757,0.0028718217554115338,6.040630531107695e-05,5e-05,7.2e-05
