,bitstring,ideal_prob,depolarize_single_0.0016_prob
0,00000000000000,1.1144661462637798e-05,6e-05
1,00000000000001,3.3596055528457715e-05,5.2e-05
2,00000000000010,2.8958828480473962e-05,5.6e-05
3,00000000000011,0.0003603523440984063,0.000144
4,00000000000100,4.4804761528928065e-05,7.4e-05
5,00000000000101,3.09812369879328e-05,4.4e-05
6,00000000000110,2.381756893111256e-05,6.6e-05
7,00000000000111,5.032346514647936e-05,6.4e-05
8,00000000001000,9.480455030048813e-05,5.8e-05
9,00000000001001,9.25574977966612e-05,7.2e-05
10,00000000001010,6.796219710545392e-06,2.6e-05
11,00000000001011,6.176302342496803e-05,8.2e-05
12,00000000001100,3.4910067311840234e-05,6.6e-05
13,00000000001101,1.0310335878085107e-05,5.8e-05
14,00000000001110,2.4637485707837385e-05,6.4e-05
15,00000000001111,4.529005959724007e-05,5.2e-05
16,00000000010000,2.6702585072568795e-05,2.8e-05
17,00000000010001,1.1542142502140141e-05,4.8e-05
18,00000000010010,2.7858875227837504e-05,5.6e-05
19,00000000010011,0.00012272163077136646,6.6e-05
20,00000000010100,5.214654157710946e-06,4.2e-05
21,00000000010101,4.288861900154564e-06,4.8e-05
22,00000000010110,5.059295066098448e-05,8.8e-05
23,00000000010111,2.0759430607108068e-05,4e-05
24,00000000011000,2.116327140939119e-05,4.6e-05
25,00000000011001,5.538718390017452e-05,5.8e-05
26,00000000011010,0.00013728040963209337,8e-05
27,00000000011011,3.6177260680860046e-05,6.4e-05
28,00000000011100,5.999163292155625e-05,7.8e-05
29,00000000011101,6.217895288035366e-05,4.6e-05
30,00000000011110,6.387606782593184e-05,9.2e-05
31,00000000011111,0.00011145171171441906,6e-05
32,00000000100000,1.097970829195981e-05,3.4e-05
33,00000000100001,1.4577043244856624e-05,4.4e-05
34,00000000100010,8.1946066052364e-06,4.8e-05
35,00000000100011,4.484440104532367e-05,5.8e-05
36,00000000100100,2.545193605396827e-05,5.6e-05
37,00000000100101,2.679912991004484e-06,3.6e-05
38,00000000100110,7.526936161495926e-05,5e-05
39,00000000100111,1.415981087495626e-05,4.6e-05
40,00000000101000,2.0469097344317293e-05,5.4e-05
41,00000000101001,0.00022497944784906734,0.000132
42,00000000101010,4.1992165531488616e-05,3.2e-05
43,00000000101011,8.255536924398128e-08,5.2e-05
44,00000000101100,3.0538801881490975e-05,7e-05
45,00000000101101,3.707277981771239e-05,5.2e-05
46,00000000101110,0.00019403165037605843,0.0001
47,00000000101111,5.659343432251761e-06,4.6e-05
48,00000000110000,8.15807446902575e-05,7.4e-05
49,00000000110001,8.215595354742444e-05,6.6e-05
50,00000000110010,1.0358948150124545e-05,4.2e-05
51,00000000110011,6.040630531107695e-05,7.2e-05
52,00000000110100,1.4919159075846676e-05,3.6e-05
53,00000000110101,2.965148262041283e-05,3.4e-05
54,00000000110110,5.693216281353751e-06,6e-05
55,00000000110111,3.646189170270167e-05,5.6e-05
56,00000000111000,5.749073659882034e-05,6.6e-05
57,00000000111001,8.683850668329939e-06,4.2e-05
58,00000000111010,0.00013630667588501695,9.6e-05
59,00000000111011,7.61209463021646e-05,6.2e-05
60,00000000111100,6.292744493664672e-05,8e-05
61,00000000111101,5.179845056270391e-05,5.4e-05
62,00000000111110,6.851217660550229e-06,4.6e-05
63,00000000111111,4.866255966587507e-05,6.2e-05
64,00000001000000,6.861462205318757e-05,6.2e-05
65,00000001000001,4.0457542811788786e-05,5.4e-05
66,00000001000010,1.2617543455296066e-05,4.4e-05
