,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,000000000000,0.0003322392199014052,0.000294,0.000588
1,000000000001,0.0005042516598942841,0.000382,0.000518
2,000000000010,0.0001287981352344801,0.000266,0.000546
3,000000000011,0.00019548165777221767,0.000312,0.000564
4,000000000100,0.0005284207951362381,0.000214,0.000366
5,000000000101,0.000802003638068916,0.00018,0.000248
6,000000000110,0.00020219389373382017,0.000626,0.00086
7,000000000111,0.00030687709466096087,0.000284,0.000456
8,000000001000,7.187328374991664e-05,0.000196,0.000336
9,000000001001,0.00010908472107448223,0.00016,0.000384
10,000000001010,5.4369599648592595e-05,0.00015,0.00034
11,000000001011,8.251873718800094e-05,0.000726,0.001054
12,000000001100,0.0002701007368037349,0.000126,0.000202
13,000000001101,0.00040994180311514875,0.000116,0.000246
14,000000001110,0.0005926763607940133,0.000322,0.000528
15,000000001111,0.0008995266687634695,0.000224,0.00034
16,000000010000,0.00028121894762603414,0.00038,0.000584
17,000000010001,0.000309595483001119,0.000182,0.000204
18,000000010010,0.00010901926647186582,0.000214,0.000296
19,000000010011,0.00012001990884578782,0.000342,0.000388
20,000000010100,0.00044727392496293473,0.000224,0.00024
21,000000010101,0.0004924063189968592,0.000162,0.000206
22,000000010110,0.00017114401493330324,0.000438,0.000436
23,000000010111,0.00018841338541842104,0.000418,0.000436
24,000000011000,6.0836072347439974e-05,0.000344,0.000496
25,000000011001,6.697476596542482e-05,0.00054,0.000712
26,000000011010,4.602033920186598e-05,0.000228,0.000318
27,000000011011,5.0664044024599824e-05,0.00036,0.000406
28,000000011100,0.000228622752544097,0.00018,0.0003
29,000000011101,0.0002516920431444727,0.000558,0.00062
30,000000011110,0.0005016620930990071,0.000412,0.000414
31,000000011111,0.0005522825518246167,0.000528,0.000562
32,000000100000,0.0002382791282951198,0.000166,0.000424
33,000000100001,7.614164403941365e-05,0.000206,0.000378
34,000000100010,9.237292153170946e-05,0.000234,0.00041
35,000000100011,2.9517592079810224e-05,0.000414,0.000712
36,000000100100,0.0003789788769533056,0.000218,0.000248
37,000000100101,0.00012110198217485401,0.000442,0.00066
38,000000100110,0.00014501173208806642,0.000234,0.000324
39,000000100111,4.633822427163257e-05,0.000184,0.000256
40,000000101000,5.1546904681272107e-05,0.000146,0.000284
41,000000101001,1.6471715737997318e-05,0.00047,0.00077
42,000000101010,3.899341207779696e-05,0.000186,0.000286
43,000000101011,1.2460270958489142e-05,0.000288,0.000444
44,000000101100,0.00019371393942160928,0.000126,0.00017
45,000000101101,6.190092236129272e-05,0.00045,0.000508
46,000000101110,0.0004250624193405893,0.000304,0.000424
47,000000101111,0.0001358278908418602,0.00013,0.000156
48,000000110000,0.0008743400788080445,0.000646,0.000864
49,000000110001,0.0003048499692653949,0.000406,0.00056
50,000000110010,0.0003389526731511815,0.000252,0.000274
51,000000110011,0.00011818023043553794,0.000496,0.000648
52,000000110100,0.0013906229366910275,0.000312,0.00033
53,000000110101,0.00048485866058884416,0.000182,0.000196
54,000000110110,0.0005321052253680241,0.00031,0.000326
