,bitstring,ideal_prob,depolarize_single_0.0016_prob,qvm_weber_prob
0,0000000000000000,1.99418385980443e-06,1.8e-05,2.2e-05
1,0000000000000001,6.764703137751207e-07,2.2e-05,2.6e-05
2,0000000000000010,5.854092239580332e-06,1.2e-05,1.6e-05
3,0000000000000011,3.921314316464677e-06,1.8e-05,2.4e-05
4,0000000000000100,1.3767684370196303e-06,1.6e-05,2.6e-05
5,0000000000000101,1.92257766818329e-05,1.8e-05,4e-05
6,0000000000000110,8.333544523771569e-06,4e-06,2.4e-05
7,0000000000000111,2.8009767170018066e-05,1e-05,4.8e-05
8,0000000000001000,2.7003959452186715e-05,2e-05,3.4e-05
9,0000000000001001,1.0738661586435978e-05,1.6e-05,2e-05
10,0000000000001010,1.369478489667805e-05,8e-06,3.8e-05
11,0000000000001011,7.866591683042663e-06,1.8e-05,2.6e-05
12,0000000000001100,4.089294148081589e-06,1.4e-05,1.6e-05
13,0000000000001101,2.7761453871554127e-06,2e-06,2.4e-05
14,0000000000001110,1.4003367352767592e-06,1.4e-05,3.2e-05
15,0000000000001111,4.319076669301614e-06,1.8e-05,2.6e-05
16,0000000000010000,1.6274971101792947e-07,6e-06,2e-05
17,0000000000010001,3.275302988815182e-06,1.4e-05,1.8e-05
18,0000000000010010,1.5506345523393026e-05,1.2e-05,3e-05
19,0000000000010011,1.137290516023731e-05,1.4e-05,1.4e-05
20,0000000000010100,6.21521056495295e-06,1.4e-05,1.8e-05
21,0000000000010101,5.5946276224006236e-05,2.4e-05,3.4e-05
22,0000000000010110,4.000624830486282e-08,8e-06,1.6e-05
23,0000000000010111,6.909149600491037e-06,8e-06,1.4e-05
24,0000000000011000,2.4575326747800675e-05,1.8e-05,2.4e-05
25,0000000000011001,1.816287678613902e-05,1.2e-05,3.6e-05
26,0000000000011010,1.8641640418850254e-05,1.6e-05,2.8e-05
27,0000000000011011,2.06507526698042e-05,2.2e-05,2.4e-05
28,0000000000011100,3.185450517532927e-06,1e-05,1.4e-05
29,0000000000011101,8.459699262667989e-06,1.2e-05,3.4e-05
30,0000000000011110,3.437685620020975e-06,2e-05,2.6e-05
31,0000000000011111,1.3995516108641422e-05,1.2e-05,1.6e-05
32,0000000000100000,5.84307449610769e-07,6e-06,2.2e-05
33,0000000000100001,8.200299539350313e-05,3e-05,4.4e-05
34,0000000000100010,1.1393003486586719e-05,1.2e-05,3.2e-05
35,0000000000100011,8.37864614010667e-06,1.4e-05,2.8e-05
36,0000000000100100,5.503237492803049e-06,6e-06,3.2e-05
37,0000000000100101,7.60938601641559e-06,1.8e-05,3.4e-05
38,0000000000100110,1.7149033371817545e-05,1e-05,2.4e-05
39,0000000000100111,2.7900807109646312e-05,1.4e-05,3.4e-05
40,0000000000101000,4.188483007709845e-06,1.6e-05,3.4e-05
41,0000000000101001,2.607229839599615e-07,1.2e-05,1.4e-05
42,0000000000101010,6.453078569702781e-06,1.4e-05,3e-05
43,0000000000101011,1.2686273607175108e-05,1.2e-05,3.4e-05
44,0000000000101100,6.086708976960065e-06,2e-05,1.6e-05
45,0000000000101101,1.0367073857792204e-05,1.6e-05,1.6e-05
46,0000000000101110,9.319216147525575e-06,1e-05,3e-05
47,0000000000101111,1.1777705699132075e-05,1e-05,3e-05
48,0000000000110000,3.823603916228583e-05,2e-05,1.8e-05
49,0000000000110001,1.786772296852161e-08,1.2e-05,1.2e-05
50,0000000000110010,4.7775757281625146e-05,2.6e-05,2.8e-05
51,0000000000110011,5.11358859136185e-05,2.8e-05,3.4e-05
52,0000000000110100,1.4672962346626555e-06,1e-05,2e-05
53,0000000000110101,8.134583706446171e-06,1.4e-05,2.2e-05
54,0000000000110110,7.138369490824883e-06,2e-05,2.4e-05
55,0000000000110111,5.362901736972942e-05,3.8e-05,3.6e-05
56,0000000000111000,2.145554543186954e-05,1.6e-05,4.4e-05
57,0000000000111001,5.0997001702262544e-05,3.4e-05,2.6e-05
58,0000000000111010,2.3867612517144712e-05,8e-06,2.4e-05
59,0000000000111011,2.990930957965358e-05,1.2e-05,2.2e-05
60,0000000000111100,2.116764585263571e-06,6e-06,1.6e-05
61,0000000000111101,1.8219836347969862e-05,1.4e-05,4e-05
62,0000000000111110,3.969097490687367e-06,4e-06,1.2e-05
63,0000000000111111,1.1199734754033782e-06,2e-05,2e-05
64,0000000001000000,3.015262262135548e-06,1.8e-05,4.4e-05
65,0000000001000001,2.1697168932043947e-05,3e-05,2.6e-05
