,bitstring,ideal_prob,noisy_prob
0,000000000000,9.3796066583e-05,0.000274
0,000000000001,3.0769132005e-05,9e-05
0,000000000010,3.2460286663e-05,0.000136
0,000000000011,5.7570644905e-05,0.000118
0,000000000100,1.3849513913e-05,7e-05
0,000000000101,1.4029504957e-05,0.000136
0,000000000110,1.658781776e-05,0.000264
0,000000000111,7.810069446e-06,5.4e-05
0,000000001000,2.4960365601e-05,0.000302
0,000000001001,1.5479030169e-05,0.000156
0,000000001010,2.8972871801e-05,0.000208
0,000000001011,1.050034507e-06,7.4e-05
0,000000001100,3.2686570928e-05,9.4e-05
0,000000001101,1.3959714192e-05,9.4e-05
0,000000001110,7.610406529e-06,0.00011
0,000000001111,2.7817981123e-05,8.8e-05
0,000000010000,8.765704569e-05,0.00019
0,000000010001,2.5009292984e-05,0.000112
0,000000010010,2.1499415092e-05,0.000162
0,000000010011,9.051469994e-06,9e-05
0,000000010100,5.2479529708e-05,8e-05
0,000000010101,1.7452393648e-05,0.000224
0,000000010110,2.8042173963e-05,0.000202
0,000000010111,1.0646039513e-05,0.0001
0,000000011000,0.000101001328454,0.000298
0,000000011001,9.643266159e-06,7.2e-05
0,000000011010,7.644004101e-06,0.00023
0,000000011011,1.9794115744e-05,6e-05
0,000000011100,6.55641497e-06,9.2e-05
0,000000011101,0.00012709382108,0.000122
0,000000011110,0.000286091741181,0.000268
0,000000011111,4.1599814715e-05,0.000102
0,000000100000,0.000186474215572,0.000292
0,000000100001,3.8177750856e-05,8.8e-05
0,000000100010,8.4038703146e-05,0.000166
0,000000100011,8.1502431263e-05,0.000138
0,000000100100,1.1895436509e-05,0.000114
0,000000100101,2.739618795e-06,0.000106
0,000000100110,1.6200703295e-05,0.00023
0,000000100111,6.853309326e-06,6.2e-05
0,000000101000,8.5330541104e-05,0.000538
0,000000101001,5.4848731965e-05,0.000124
0,000000101010,5.6638037124e-05,0.00024
0,000000101011,1.0966862649e-05,0.00012
0,000000101100,4.7156894044e-05,0.000104
0,000000101101,5.817397836e-06,8.2e-05
0,000000101110,1.1748036823e-05,0.000156
0,000000101111,9.149038421e-06,5.8e-05
0,000000110000,1.3178103878e-05,0.000242
0,000000110001,5.484406251e-06,0.000112
0,000000110010,3.338366061e-06,0.000166
0,000000110011,4.942843094e-06,0.00013
0,000000110100,3.20447897e-06,5e-05
0,000000110101,2.8331025749e-05,0.000152
0,000000110110,6.348047185e-06,6.6e-05
0,000000110111,2.3227729368e-05,5e-05
0,000000111000,2.8681689014e-05,0.000236
0,000000111001,5.164363994e-06,5.2e-05
0,000000111010,2.5140578213e-05,0.000176
0,000000111011,1.716310231e-06,6.8e-05
0,000000111100,7.200839799e-06,8.2e-05
0,000000111101,3.5079995844e-05,0.00013
0,000000111110,7.542701565e-05,0.000338
0,000000111111,1.1256263816e-05,5.6e-05
0,000001000000,0.001140909314265,0.000988
0,000001000001,6.3538113358e-05,0.000208
0,000001000010,0.000113562453405,0.000386
0,000001000011,0.000112702970556,0.000196
0,000001000100,8.8007804174e-05,0.000206
0,000001000101,8.9231142669e-05,0.00033
0,000001000110,0.001361245629969,0.001014
0,000001000111,0.000168496716069,0.00023
0,000001001000,0.002189039008642,0.001594
0,000001001001,0.001117240567484,0.000768
0,000001001010,0.001170471722772,0.000912
0,000001001011,0.000327226934335,0.00034
0,000001001100,4.5963656735e-05,0.000196
0,000001001101,0.000419196395335,0.0003
0,000001001110,0.000335663167723,0.000394
0,000001001111,0.000442911181847,0.000388
0,000001010000,0.000314173484477,0.000486
0,000001010001,7.1605505703e-05,0.000208
0,000001010010,9.3645068354e-05,0.00032
0,000001010011,6.8495704279e-05,0.000182
0,000001010100,0.000196169840731,0.000288
0,000001010101,0.001835488074125,0.00092
0,000001010110,0.00087256354193,0.000644
0,000001010111,0.000237020546561,0.000264
