,bitstring,ideal_prob,fake_guadalupe_prob,depolarization_prob,depolarization_and_readout_prob
0,000000000000,6.4718427253e-05,0.000246,0.00013,0.00015
1,000000000001,0.001168263735962,0.00095,0.000842,0.000716
2,000000000010,9.1291430313e-05,0.000482,0.0003,0.000222
3,000000000011,0.000510722192739,0.000636,0.000494,0.00049
4,000000000100,8.242989544e-06,0.000248,0.000136,0.000216
5,000000000101,0.001672963243139,0.001058,0.0012,0.000936
6,000000000110,0.00118904590357,0.000838,0.000876,0.00073
7,000000000111,0.000170517506395,0.000286,0.000222,0.00025
8,000000001000,0.000537811777968,0.000532,0.000484,0.000416
9,000000001001,0.000696310791734,0.000828,0.000676,0.00067
10,000000001010,6.6495006907e-05,0.000252,0.000184,0.000216
11,000000001011,0.000368697988407,0.000406,0.000368,0.000324
12,000000001100,8.7587452682e-05,0.000232,0.00014,0.000194
13,000000001101,1.7246767238e-05,0.000506,0.000296,0.000378
14,000000001110,0.00142163917272,0.000852,0.00109,0.00076
15,000000001111,4.9229115648e-05,0.000254,0.00015,0.00021
16,000000010000,4.651883686e-06,0.00016,9.2e-05,0.000166
17,000000010001,0.000889503827778,0.0007,0.00067,0.000688
18,000000010010,0.001020994691048,0.000918,0.000924,0.000692
19,000000010011,0.000664506235208,0.000602,0.000568,0.00053
20,000000010100,0.00014352885306,0.000218,0.000196,0.000168
21,000000010101,0.000103365230255,0.000286,0.000192,0.000272
22,000000010110,0.000401500931616,0.000296,0.000314,0.000308
23,000000010111,9.8363728269e-05,0.00017,0.000178,0.000196
24,000000011000,0.000155005117295,0.000224,0.000186,0.000196
25,000000011001,0.000270972305666,0.000428,0.00037,0.000368
26,000000011010,0.000249196278153,0.000224,0.000228,0.000196
27,000000011011,0.000248849065377,0.000284,0.000196,0.000254
28,000000011100,0.000187668896934,0.00035,0.000262,0.000296
29,000000011101,0.002091293632351,0.001534,0.001586,0.00119
30,000000011110,7.3062573989e-05,0.000258,0.00022,0.000266
31,000000011111,0.001294811044292,0.000846,0.000926,0.000656
32,000000100000,7.3727175983e-05,0.000216,9.8e-05,0.00015
33,000000100001,0.000800158755689,0.000776,0.000712,0.000582
34,000000100010,0.000570694747434,0.000616,0.00043,0.000432
35,000000100011,0.000109840175039,0.00029,0.000178,0.00024
36,000000100100,0.001295082821929,0.000844,0.000862,0.000716
37,000000100101,0.002398808426105,0.001588,0.001766,0.001212
38,000000100110,0.000223585705742,0.000424,0.000314,0.000368
39,000000100111,9.2273349937e-05,0.000264,0.000234,0.000276
40,000000101000,0.000129829305185,0.000404,0.00022,0.00027
41,000000101001,0.003656916582142,0.002098,0.002462,0.001674
42,000000101010,0.000505629567596,0.000436,0.00047,0.000438
43,000000101011,0.000728997307863,0.00054,0.000656,0.000566
44,000000101100,7.0872185921e-05,0.000158,0.000102,0.000188
45,000000101101,0.000571480181642,0.000634,0.000568,0.00059
46,000000101110,8.9133016914e-05,0.000192,0.000174,0.000198
47,000000101111,4.5199294393e-05,0.000162,0.000138,0.00018
48,000000110000,0.000351846582788,0.000394,0.000378,0.000318
49,000000110001,8.9657204345e-05,0.000346,0.0003,0.00037
50,000000110010,0.002162336053823,0.001368,0.00145,0.001114
51,000000110011,0.001026072638774,0.000712,0.000768,0.00063
52,000000110100,0.00027020242594,0.000354,0.000306,0.000382
53,000000110101,0.001647270464979,0.001028,0.0013,0.001014
54,000000110110,0.001216387684808,0.000726,0.000852,0.000766
55,000000110111,0.001123529969885,0.000636,0.000854,0.00068
56,000000111000,0.001065021201845,0.000738,0.000768,0.000672
