,bitstring,ideal_prob,noisy_prob
0,000000000000,1.7731072431e-05,0.000166
0,000000000001,0.000320881616213,0.000536
0,000000000010,5.6802539252e-05,0.000202
0,000000000011,0.000149802923912,0.00038
0,000000000100,0.000181063527553,0.0002
0,000000000101,0.000985963689757,0.00082
0,000000000110,0.000296922064552,0.00042
0,000000000111,0.000285165976783,0.0005
0,000000001000,0.000117300172708,0.000282
0,000000001001,9.448040598e-05,0.000522
0,000000001010,0.000184898009453,0.000212
0,000000001011,0.000696627133114,0.000576
0,000000001100,0.000218854573688,0.000216
0,000000001101,0.000302946483472,0.00037
0,000000001110,1.629392236e-06,0.000196
0,000000001111,0.000668025612804,0.000576
0,000000010000,0.000247488954082,0.000266
0,000000010001,0.00043309919249,0.000476
0,000000010010,0.000246349735387,0.000188
0,000000010011,0.000390804754664,0.000472
0,000000010100,1.3808554634e-05,7.4e-05
0,000000010101,0.000517173551771,0.000514
0,000000010110,0.000103307179278,0.000286
0,000000010111,0.000513083806308,0.00049
0,000000011000,0.000166464100613,0.000168
0,000000011001,0.000620232383848,0.00065
0,000000011010,0.000132885650898,0.000138
0,000000011011,0.001141769074103,0.0007
0,000000011100,1.072845843e-05,9.2e-05
0,000000011101,4.5225215566e-05,0.000298
0,000000011110,1.3479113095e-05,0.000158
0,000000011111,0.000473775823206,0.000598
0,000000100000,0.000105570356446,0.000168
0,000000100001,0.001292138117659,0.000936
0,000000100010,0.000227911350165,0.000168
0,000000100011,0.000379816271266,0.000404
0,000000100100,8.745034373e-06,0.00011
0,000000100101,0.000355743259224,0.000408
0,000000100110,0.000319799563056,0.00033
0,000000100111,0.000234192085562,0.000434
0,000000101000,0.000641328064342,0.000492
0,000000101001,0.001383498054312,0.00091
0,000000101010,0.000185307432569,0.000236
0,000000101011,0.000212952822663,0.000418
0,000000101100,2.88497679e-06,7.4e-05
0,000000101101,0.000238077550375,0.000322
0,000000101110,6.0624910099e-05,0.000218
0,000000101111,0.000164836804535,0.00037
0,000000110000,3.4263812174e-05,0.000146
0,000000110001,1.4397074145e-05,0.000282
0,000000110010,1.6117277075e-05,9.8e-05
0,000000110011,0.000163759169109,0.000294
0,000000110100,8.1058548945e-05,0.000144
0,000000110101,0.000313898027092,0.000484
0,000000110110,0.000517295264738,0.000406
0,000000110111,0.000609386603927,0.00052
0,000000111000,0.000173121635121,0.000186
0,000000111001,0.000305985700836,0.000332
0,000000111010,0.000200649439575,0.000214
0,000000111011,0.000426835101171,0.000368
0,000000111100,0.00011087407633,0.00011
0,000000111101,0.000517464100743,0.000398
0,000000111110,0.000145720854826,0.000156
0,000000111111,0.00012462945856,0.000234
0,000001000000,0.000153906900696,0.000212
0,000001000001,0.000750689387634,0.000732
0,000001000010,6.4624720439e-05,0.000142
0,000001000011,0.000865265365837,0.000632
0,000001000100,2.841146778e-06,5.8e-05
0,000001000101,0.000336637025664,0.000432
0,000001000110,0.00012160453696,0.00023
0,000001000111,0.000207585946659,0.000368
0,000001001000,0.000337018077061,0.000384
0,000001001001,0.000323139692026,0.000536
0,000001001010,0.000127056617507,0.000146
0,000001001011,0.000290097177895,0.000414
0,000001001100,1.234945576e-06,5.6e-05
0,000001001101,5.3739362317e-05,0.000284
0,000001001110,2.8930977155e-05,0.000172
0,000001001111,0.000204987315729,0.000332
0,000001010000,0.000204601786399,0.000268
0,000001010001,0.000373089779101,0.00049
0,000001010010,4.89801946e-07,9.8e-05
0,000001010011,0.000580165569872,0.000536
0,000001010100,4.31681332e-07,7.6e-05
0,000001010101,0.000153284395055,0.000258
0,000001010110,0.000325819706474,0.00029
0,000001010111,0.000119819038638,0.000272
0,000001011000,4.2631238823e-05,0.000144
0,000001011001,0.000259340680297,0.000486
0,000001011010,0.000139757250123,0.000116
0,000001011011,0.000469694768812,0.000364
0,000001011100,0.000221820856962,0.000204
0,000001011101,0.001259172080432,0.00076
0,000001011110,0.00014525146009,0.000248
0,000001011111,0.000551999016829,0.000438
0,000001100000,0.000157457209168,0.000234
0,000001100001,0.000431550050422,0.000426
0,000001100010,7.3910065625e-05,0.000118
0,000001100011,0.000495038563049,0.00044
0,000001100100,1.693145568e-06,5.8e-05
0,000001100101,0.00014708914884,0.000268
0,000001100110,0.000110234116268,0.00019
0,000001100111,6.460186825e-05,0.000244
0,000001101000,4.924009961e-05,0.000242
0,000001101001,3.4518720809e-05,0.000364
0,000001101010,0.000120698441864,0.000206
0,000001101011,0.000158800485726,0.000402
0,000001101100,3.5681154033e-05,0.000118
0,000001101101,0.000201069294732,0.000304
0,000001101110,0.000126583620935,0.000242
0,000001101111,9.1867999256e-05,0.000344
0,000001110000,8.6424405915e-05,0.000194
0,000001110001,0.000154836172137,0.000316
0,000001110010,3.4411444232e-05,8.6e-05
0,000001110011,3.1448830091e-05,0.000206
0,000001110100,5.008010648e-05,9e-05
0,000001110101,0.000209804052629,0.000402
0,000001110110,0.000101692154975,0.00022
0,000001110111,9.880890131e-05,0.000276
0,000001111000,5.7857850869e-05,0.00015
0,000001111001,0.000125836215298,0.000232
0,000001111010,9.373892615e-06,9.6e-05
0,000001111011,0.000250887944205,0.00025
0,000001111100,1.8836406502e-05,7.8e-05
0,000001111101,6.8555924145e-05,0.000198
0,000001111110,0.000112039695403,0.00018
0,000001111111,9.674014644e-06,0.000168
0,000010000000,6.745293602e-05,0.000214
0,000010000001,0.000123790939739,0.000324
0,000010000010,8.18285516e-06,0.000134
0,000010000011,1.8444285236e-05,0.000354
0,000010000100,9.4662144749e-05,0.000138
0,000010000101,0.000234858389174,0.00039
0,000010000110,0.000384993463611,0.000424
0,000010000111,0.000417754707637,0.00046
0,000010001000,0.000502364752039,0.000414
0,000010001001,0.000810710686441,0.000726
0,000010001010,6.661665191e-05,0.000128
0,000010001011,0.000441020393054,0.000376
0,000010001100,6.9026153893e-05,0.000102
0,000010001101,0.000514252885555,0.000438
0,000010001110,0.000494642070073,0.000352
0,000010001111,0.000247345248515,0.00043
0,000010010000,0.000147057645498,0.000224
0,000010010001,0.000159700289835,0.000292
0,000010010010,9.0426656994e-05,0.000138
0,000010010011,0.000518742262886,0.000506
0,000010010100,0.000116093016306,0.000138
0,000010010101,0.000681788194058,0.00052
0,000010010110,0.000503497716794,0.000418
0,000010010111,0.000638162210768,0.00057
0,000010011000,4.8781317593e-05,0.000154
0,000010011001,7.2105970211e-05,0.000424
0,000010011010,3.188710658e-06,8.6e-05
0,000010011011,4.1172397896e-05,0.000202
0,000010011100,3.2971127255e-05,0.000114
0,000010011101,0.000121671937027,0.000274
0,000010011110,6.3772365592e-05,0.000158
0,000010011111,0.000288575853091,0.00042
0,000010100000,1.6876862278e-05,0.000122
0,000010100001,0.000260589889441,0.0005
0,000010100010,6.2347511654e-05,0.000116
0,000010100011,0.00051844603805,0.000524
0,000010100100,8.2787826795e-05,7.6e-05
0,000010100101,0.00037565115621,0.00044
0,000010100110,0.000359116264284,0.000364
0,000010100111,0.000508084827734,0.000546
0,000010101000,2.3613305648e-05,0.000216
0,000010101001,3.9246976395e-05,0.000312
0,000010101010,2.1631079818e-05,0.000118
0,000010101011,3.9405984283e-05,0.000272
0,000010101100,5.893544061e-06,5.8e-05
0,000010101101,1.3116275674e-05,0.000274
0,000010101110,4.2262368695e-05,0.000244
0,000010101111,0.000131265726589,0.000264
0,000010110000,0.000176721852316,0.000216
0,000010110001,6.2441130891e-05,0.00026
0,000010110010,1.1538505797e-05,6.2e-05
0,000010110011,2.949237873e-06,0.000204
0,000010110100,4.9993222327e-05,0.000104
0,000010110101,0.000462923466809,0.00041
0,000010110110,0.00041057166037,0.000338
0,000010110111,0.000824287427667,0.00055
0,000010111000,8.4343965626e-05,0.000122
0,000010111001,2.1405696975e-05,0.000162
0,000010111010,7.4774677486e-05,0.000102
0,000010111011,0.00021841360724,0.000234
0,000010111100,3.6696726043e-05,6.8e-05
0,000010111101,0.000178817895036,0.000266
0,000010111110,3.1847001614e-05,0.000132
0,000010111111,0.000229035871423,0.000236
0,000011000000,0.000148250646401,0.000282
0,000011000001,0.001191314181557,0.000924
0,000011000010,1.2815539378e-05,0.000122
0,000011000011,0.000323258394664,0.000442
0,000011000100,4.5454967603e-05,0.000102
0,000011000101,0.000381219820398,0.0005
0,000011000110,0.000436677576355,0.000404
0,000011000111,0.000748420585621,0.00059
0,000011001000,0.000424058092633,0.000422
0,000011001001,0.00113850183395,0.000886
0,000011001010,2.9737813294e-05,0.000132
0,000011001011,0.00016208831478,0.000362
0,000011001100,3.4115982719e-05,9.8e-05
0,000011001101,0.000247629284066,0.00035
0,000011001110,0.000119149070841,0.000204
0,000011001111,0.000429040031813,0.000382
0,000011010000,0.000712150378788,0.00041
0,000011010001,5.7236413104e-05,0.000266
0,000011010010,0.000220889630321,0.000188
0,000011010011,0.000888889234454,0.000608
0,000011010100,6.8057046295e-05,0.000118
0,000011010101,3.9233114563e-05,0.000298
0,000011010110,1.0370336413e-05,0.000208
0,000011010111,0.001262491509497,0.000698
0,000011011000,9.8122576457e-05,0.000214
0,000011011001,0.000784759259982,0.000518
0,000011011010,0.000303419740497,0.000228
0,000011011011,0.000292575065832,0.000296
0,000011011100,1.1487669632e-05,9e-05
0,000011011101,0.000122606437826,0.000444
0,000011011110,5.7909217914e-05,0.000176
0,000011011111,1.4706505876e-05,0.000276
0,000011100000,9.3854066972e-05,0.00024
0,000011100001,0.001269687946915,0.000802
0,000011100010,2.6080019203e-05,0.000128
0,000011100011,0.000831262906911,0.0006
0,000011100100,2.0714671088e-05,0.0001
